"WEEKEND","NL63","OC43","E229","HKU1","ILI","NL63_ILI","OC43_ILI","E229_ILI","HKU1_ILI","WEEKINDEX"
2017-01-07,0.00477369165487977,0.0652404526166902,0.0164427157001414,0.000353606789250354,0.0309689,0.000147835979490806,0.00202042505304102,0.00050921281824611,1.09508132956153e-05,132
2017-01-14,0.0043825050398808,0.0573231659216408,0.020773073889035,0.00122710141116662,0.0307346,0.00013469453939872,0.00176180457533526,0.000638452116749934,3.77144710316417e-05,133
2017-01-21,0.00411090702352838,0.0613137409253914,0.0205545351176419,0.000787194961952244,0.0351643,0.000144557167847459,0.00215605478002274,0.000722785839237296,2.76811598005773e-05,134
2017-01-28,0.00675098273799351,0.05682789266792,0.0261493761750128,0.000512732866176722,0.038027,0.000256719620577679,0.00216099427448299,0.000994382327807213,1.94976927021022e-05,135
2017-02-04,0.0084557918069124,0.0476151383301864,0.0330022165667843,0.000164190132173056,0.0450313,0.000380775297594615,0.00214417157868812,0.00148613271488384,7.39369509892455e-06,136
2017-02-11,0.00771003894761943,0.0461012638105079,0.039742468802162,0.00079484937604324,0.0506308,0.00039036543994913,0.00233414386773706,0.0020121929894285,4.02438597885701e-05,137
2017-02-18,0.00876633726490277,0.0357029008606949,0.0420784188715333,0.000876633726490277,0.0486009,0.000426051880777813,0.00173519311444055,0.0020450490277335,4.26051880777813e-05,138
2017-02-25,0.00691378592253228,0.0310703873386089,0.0381507705122865,0.000749687630154102,0.0457916,0.000316593319450229,0.00142276274885464,0.00174698482299042,3.43293960849646e-05,139
2017-03-04,0.00765515355873508,0.0281600291624897,0.0322610042832407,0.000820195024150187,0.0355674,0.000272273908684954,0.00100157902123394,0.00114744004374373,2.91722045019594e-05,140
2017-03-11,0.00781395348837209,0.0223255813953488,0.0277209302325581,0.000837209302325581,0.0350417,0.000273814213953488,0.000782326325581395,0.000971388520930232,2.93372372093023e-05,141
2017-03-18,0.00671074706404816,0.0223033652422777,0.0259548011447745,0.000493437284121188,0.0321511,0.000215757899930919,0.000717077726240995,0.000834475407085759,1.58645514655087e-05,142
2017-03-25,0.00788592416549638,0.0167440855568759,0.0239818515717835,0.0015123690180404,0.0310088,0.000244533045263044,0.000519214000216053,0.000743648439019121,4.68967484066112e-05,143
2017-04-01,0.00482647667202942,0.015743507239715,0.0180418294644909,0.00137899333486555,0.0279056,0.000134685727418984,0.000439332015628591,0.000503468076304298,3.8481636405424e-05,144
2017-04-08,0.00417052826691381,0.0100787766450417,0.0115848007414272,0.00115848007414272,0.0238547,9.94867006487489e-05,0.000240426193234476,0.000276351946246525,2.76351946246525e-05,145
2017-04-15,0.00500563133525216,0.0103866850206482,0.0102615442372669,0.000875985483669128,0.019703,9.86259541984733e-05,0.000204648854961832,0.00020218320610687,1.72595419847328e-05,146
